from_canonical,to_name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fiber_g_per_100g,gram_ratio,note
baby potatoes,Swede (rutabaga) chunks,38.0,1.1,0.2,7.0,2.3,1.0,"Swede holds its shape when roasted or boiled, closely mimicking baby potatoes in salads, stews and traybakes with roughly one-quarter of the carbs."
brown rice,Cauliflower Rice,25.0,1.9,0.3,3.0,2.0,1.0,Brown rice carries ~23 g net carbs per 100 g cooked; cauliflower rice cuts this to ~1 g net carbs while preserving the grain-like texture.
cashews,Macadamia nuts (raw),718.0,7.9,75.8,5.2,3.6,1.0,"Macadamias have only ~1.6 g net carbs per 100 g vs ~26 g for cashews, making them the best keto nut substitute. They provide a similar buttery richness in sauces, blended creams, or as a topping."
cooked pasta,Konjac/Shirataki Noodles (cooked),9.0,0.1,0.1,1.5,1.3,1.0,Shirataki is sold pre-cooked; swap weight-for-weight with cooked pasta for a seamless volume match.
cooked rice,Cauliflower Rice (cooked),25.0,1.9,0.3,3.0,2.0,1.0,Use cooked cauliflower rice at a 1:1 volume swap; macros given are for the lightly stir-fried product.
dark chocolate,90%+ cocoa dark chocolate (unsweetened),560.0,10.0,46.0,13.0,11.0,1.0,Swapping standard dark chocolate (~50–70% cocoa) for 90%+ cocoa chocolate dramatically cuts sugar while keeping the chocolate character intact; net carbs ~2g/100g.
dark chocolate chips or cacao nibs,Raw cacao nibs (unsweetened),480.0,14.0,40.0,28.0,22.0,1.0,Pure cacao nibs have only ~6 g net carbs per 100 g vs ~45 g for typical dark chocolate chips. They preserve the chocolate flavour and are whole-food compliant. Use 1:1 by weight.
ditalini or macaroni,Konjac/shirataki rice-shaped pearls (drained and rinsed),9.0,0.1,0.1,1.0,0.8,1.0,Konjac pearls approximate the small tubular shape of ditalini/macaroni in soups and pasta e fagioli-style dishes; dry-fry after rinsing for best texture.
dried gluten-free pasta,Konjac/shirataki noodles (drained and rinsed),9.0,0.1,0.1,1.0,0.8,1.0,Near-zero carb noodle; rinse well and dry-fry briefly to improve texture. Maintains pasta-like form in sauces.
farro,"cauliflower rice (raw, finely riced)",25.0,1.9,0.3,4.0,2.0,1.0,Cauliflower rice mimics the grain-like texture of farro in salads and pilafs; net carbs ~2g/100g vs farro's ~26g/100g cooked.
fusilli wholewheat pasta,Konjac/Shirataki Noodles,9.0,0.1,0.1,1.5,1.3,1.0,Fusilli shape is hard to replicate exactly; shirataki provides the same low-carb bulk and absorbs the sauce.
giant couscous,Cauliflower rice,25.0,1.9,0.3,4.0,2.0,1.0,"Cauliflower rice is the best whole-food grain substitute here; for a closer pearl-like texture, use a melon baller or small scoop to create uniform florets before steaming."
gluten-free flour,Almond flour,571.0,21.0,50.0,10.0,6.0,1.0,Almond flour is naturally gluten-free and low-carb; it replaces rice- or tapioca-based GF flours which are high in starch. Adjust liquid slightly as almond flour absorbs differently.
granola,"mixed seed & nut clusters (hemp, sunflower, pumpkin seeds, flaked almonds, coconut flakes, toasted)",580.0,18.0,50.0,8.0,5.0,1.0,Toasted seed-and-nut mix replicates the crunch and cluster texture of granola with minimal net carbs (~3g net carbs/100g).
instant noodles,Konjac/Shirataki Noodles,9.0,0.1,0.1,1.5,1.3,1.0,"Shirataki noodles are sold pre-cooked and heat in minutes, closely matching the convenience of instant noodles."
instant oats,Hemp Seed & Ground Flaxseed Porridge,489.0,28.0,38.0,6.5,14.0,0.5,"Blend 60 g hemp seeds with 40 g ground flaxseed per 100 g mix; simmer with plant milk for a creamy, oat-like porridge. Use 0.5 g per gram of oats as it is far more calorie-dense."
japanese sweet potatoes,Celeriac chunks (roasted),42.0,1.5,0.3,7.4,1.8,1.0,"Japanese sweet potatoes are even denser in starch than regular sweet potatoes; celeriac is the closest low-carb whole-food substitute that roasts to a similar tender, slightly sweet result."
linguine,Courgette (zucchini) spirals / courgetti,17.0,1.2,0.3,2.1,1.1,1.0,Spiralised courgette replicates the long flat strand of linguine well; lightly sauté or serve raw with warm sauce to avoid sogginess.
macaroni,"Konjac/shirataki macaroni-style pieces (drained, rinsed)",9.0,0.1,0.1,1.5,1.4,1.0,Konjac pasta is virtually carb-free and keeps the dish recognisable as a pasta bake or mac-style dish; rinse well and dry-toast in a pan to improve texture.
maris piper potatoes,Celeriac batons/chunks,42.0,1.5,0.3,7.0,1.8,1.0,"Celeriac roasts, mashes and bakes similarly to potato with a fraction of the carbs; mild, slightly nutty flavour keeps the dish recognisable."
oat milk,Unsweetened almond milk,15.0,0.5,1.1,0.5,0.2,1.0,"Unsweetened almond milk is the lowest-carb plant milk available and works as a direct volume-for-volume swap in sauces, baking and drinks; oat milk carries ~9g carbs/100ml."
oats,Hemp seeds and desiccated coconut blend (60:40),532.0,22.0,44.0,8.0,5.5,0.8,"A 60:40 blend of hemp seeds and fine desiccated coconut mimics the texture of oats in porridge, granola or energy balls; use 80g per 100g oats called for."
panko breadcrumbs,Ground flaxseed and almond flour blend (50:50),489.0,18.0,42.0,6.5,9.5,0.6,"A 50:50 mix of fine almond flour and ground flaxseed gives a crisp, golden crumb when baked or air-fried; use about 60g per 100g panko called for."
parsnips,"Celeriac batons (raw, peeled)",42.0,1.5,0.3,7.4,1.8,1.0,"Celeriac batons roast to a similar golden result as parsnips and share a subtle anise-like note, with around one-third fewer net carbs."
pasta,Konjac/Shirataki Noodles,9.0,0.1,0.1,1.5,1.3,1.0,Versatile shirataki works as a general pasta substitute; rinse thoroughly and pan-dry before saucing.
potato,celeriac batons / celeriac chunks,42.0,1.5,0.3,7.4,1.8,1.0,"Celeriac roasts, mashes and chips well; net carbs ~5.6g/100g vs potato's ~17g/100g. Swede (rutabaga) is an equally valid alternative."
quinoa,"cauliflower rice (raw, finely riced)",25.0,1.9,0.3,4.0,2.0,1.0,Cauliflower rice replaces quinoa as a grain-like base; note protein contribution will be lower so consider adding hemp seeds alongside.
