ingredient_canonical,sample_raw_text,recipe_count,current_source,current_match,match_score,current_kcal_per_100g,current_protein_g_per_100g,current_fiber_g_per_100g,current_fat_g_per_100g,current_carbs_g_per_100g,corrected_kcal_per_100g,corrected_protein_g_per_100g,corrected_fiber_g_per_100g,corrected_fat_g_per_100g,corrected_carbs_g_per_100g
granola,60 g granola,6,claude_medium,Crunchy maple peanut granola; values are estimates as recipe-specific granola varies widely.,85,450.0,9.0,5.0,18.0,62.0,,,,,
tamari,1 tablespoon tamari,5,claude_medium,"Tamari soy sauce, slightly richer in protein than regular soy sauce",85,60.0,10.5,0.0,0.1,5.5,,,,,
plum,"1 plum tomato, finely diced",3,claude_medium,"Sample text says 'plum tomato'. Using raw plum tomato values (~18 kcal/100g), similar to standard fresh tomato.",85,18.0,0.9,1.0,0.2,3.5,,,,,
biome broth,1 litre Biome broth or other,2,claude_medium,"Treated as a prepared liquid broth/stock, similar to vegetable stock. ~5 kcal/100ml.",85,5.0,0.3,0.0,0.1,0.5,,,,,
collard greens,"220 g chopped fresh kale, collards or other dark greens",2,claude_medium,Raw collard greens; similar to kale. Used interchangeably in recipe.,85,32.0,3.0,3.6,0.6,2.7,,,,,
protein powder,25 g blueberry whey protein powder,2,claude_medium,"Blueberry whey protein powder; values vary by brand, these are typical averages",85,380.0,75.0,1.0,5.0,10.0,,,,,
tomato sauce,120 ml bottled or canned tomato sauce,2,claude_medium,Bottled/canned plain tomato sauce (passata-style); values vary by brand,85,29.0,1.5,1.2,0.4,5.5,,,,,
baby greens,400 g chopped baby greens,1,claude_medium,Mixed baby salad/cooking greens; estimate based on typical mixed leaf greens,85,25.0,2.5,2.0,0.4,2.5,,,,,
crispy chilli oil,1 tbsp Crispy Chilli Oil,1,claude_medium,Crispy chilli oil (e.g. Lao Gan Ma style) — oil with chilli flakes and other solids. Lower than pure oil due to water and solid content.,85,550.0,3.0,2.0,55.0,10.0,,,,,
dark chocolate chips or cacao nibs,2 tablespoons dark chocolate chips or cacao nibs,1,claude_medium,Dark chocolate chips (~70% cocoa); cacao nibs would be lower in carbs/sugar. Midpoint estimate used.,85,546.0,5.5,7.0,31.0,59.0,,,,,
dried gluten-free pasta,225 grams dried gluten-free pasta,1,claude_medium,"Dried gluten-free pasta (typically rice/corn-based), uncooked. Values vary by brand.",85,355.0,4.5,2.0,1.5,79.0,,,,,
farro,150 grams uncooked farro,1,claude_medium,Uncooked farro (whole grain emmer wheat); values are for dry grain.,85,340.0,14.0,7.0,2.5,65.0,,,,,
garlic-infused olive oil or stock,1 tablespoon garlic- infused olive oil or stock (see Pro Tip),1,claude_medium,"Treated as olive oil (garlic infusion negligible); if stock is used instead, calories would be ~5 kcal/100ml",85,884.0,0.0,0.0,100.0,0.0,,,,,
giant couscous,50 g Giant Couscous,1,claude_medium,Dry giant (Israeli) couscous; if cooked ~175 kcal/100g.,85,357.0,12.0,2.5,1.5,74.0,,,,,
gluten-free flour,120 grams (gluten-free) flour,1,claude_medium,Generic gluten-free flour blend (typically rice flour/tapioca/potato starch mix); values vary by brand.,85,350.0,4.0,3.0,1.5,78.0,,,,,
hot sauce,1 tablespoon hot sauce,1,claude_medium,Generic hot sauce (e.g. Tabasco/Frank's style); values vary by brand,85,35.0,1.0,0.5,0.5,6.0,,,,,
kabocha squash,"230 g peeled, seeded, and diced Kabocha squash",1,claude_medium,"Japanese pumpkin/kabocha squash, raw; limited UK data",85,34.0,1.1,2.7,0.1,7.3,,,,,
kimchi,450 grams kimchi,1,claude_medium,Fermented kimchi; values vary by recipe/brand,85,19.0,1.7,1.6,0.5,2.4,,,,,
low fodmap biome stock,2 litres Low FODMAP Biome Stock,1,claude_medium,Treated as a prepared liquid vegetable stock. ~5 kcal/100ml.,85,5.0,0.3,0.0,0.1,0.5,,,,,
low-histamine biome stock,120 ml Low-Histamine Biome Stock (separate recipe),1,claude_medium,Treated as a prepared liquid vegetable stock. ~5 kcal/100ml.,85,5.0,0.3,0.0,0.1,0.5,,,,,
mirin,3 tbsp mirin,1,claude_medium,Japanese sweet rice wine condiment. High sugar content.,85,226.0,0.5,0.0,0.0,54.0,,,,,
pancetta,"150 g pancetta, diced",1,claude_medium,"Diced pancetta, cured Italian pork belly; high fat content",85,380.0,14.5,0.0,35.0,0.5,,,,,
pecorino,"100 g pecorino, grated",1,claude_medium,"Hard Italian sheep's milk cheese, similar to Parmesan in nutrition",85,387.0,25.5,0.0,31.0,0.5,,,,,
pressed extra-firm tofu,"225 g pressed extra-firm tofu, cubed",1,claude_medium,Extra-firm tofu after pressing; slightly higher kcal/protein than regular firm tofu due to lower water content,85,117.0,13.0,0.3,6.0,2.0,,,,,
roasted tomato sauce or passata,500 ml roasted tomato sauce or passata,1,claude_medium,Passata or roasted tomato sauce; slightly higher kcal than plain passata due to possible added oil/seasoning in roasted version,85,32.0,1.5,1.5,0.5,5.5,,,,,
rogan josh curry paste,4 tablespoons rogan josh curry paste,1,claude_medium,Rogan josh curry paste (e.g. Patak's). Values vary by brand; estimated based on typical jarred curry paste.,85,150.0,3.5,4.0,10.0,12.0,,,,,
sriracha,1 teaspoon sriracha (optional),1,claude_medium,Sriracha hot chilli sauce,85,93.0,1.8,0.9,0.5,19.0,,,,,
